,fileNumber,fileName,iter1:m/nratio,iter1:time,iter1:noOfIter,avgIter,avgTime,mnratio
54,55,"n=30,m=64.cnf",2.1333333333333333,0.00014261099999934856,24,24.0,0.00014261099999934856,2.1333333333333333
55,56,"n=30,m=172.cnf",5.7333333333333325,0.0003708400000004275,186,186.0,0.0003708400000004275,5.7333333333333325
56,57,"n=30,m=166.cnf",5.533333333333332,5.472800000028144e-05,1021,1021.0,5.472800000028144e-05,5.533333333333332
57,58,"n=40,m=115.cnf",2.875,-0.00030659300000124284,49,49.0,-0.00030659300000124284,2.875
58,59,"n=10,m=32.cnf",3.2,5.548000000032971e-05,4,4.0,5.548000000032971e-05,3.2
59,60,"n=10,m=26.cnf",2.6,9.242499999828624e-05,3,3.0,9.242499999828624e-05,2.6
60,61,"n=50,m=145.cnf",2.9,-3.076999998796737e-06,25,25.0,-3.076999998796737e-06,2.9
61,62,"n=50,m=190.cnf",3.8,-9.879600000317625e-05,177,177.0,-9.879600000317625e-05,3.8
62,63,"n=50,m=60.cnf",1.2,9.856899999860502e-05,4,4.0,9.856899999860502e-05,1.2
63,64,"n=20,m=120.cnf",6.0,0.00018154700000039267,48,48.0,0.00018154700000039267,6.0
64,65,"n=20,m=108.cnf",5.4,-0.000988916000000728,68,68.0,-0.000988916000000728,5.4
65,66,"n=50,m=225.cnf",4.5,-0.0005355859999980339,406,406.0,-0.0005355859999980339,4.5
66,67,"n=40,m=103.cnf",2.575,-0.00018258999999787304,12,12.0,-0.00018258999999787304,2.575
67,68,"n=30,m=67.cnf",2.2333333333333334,-0.0006088340000012237,9,9.0,-0.0006088340000012237,2.2333333333333334
68,69,"n=30,m=73.cnf",2.433333333333333,-0.0004332220000016207,13,13.0,-0.0004332220000016207,2.433333333333333
69,70,"n=50,m=75.cnf",1.5,-0.000677428000003033,7,7.0,-0.000677428000003033,1.5
70,71,"n=50,m=185.cnf",3.7,-0.00011230500000181108,335,335.0,-0.00011230500000181108,3.7
71,72,"n=10,m=14.cnf",1.4,4.801600000092776e-05,1,1.0,4.801600000092776e-05,1.4
72,73,"n=20,m=104.cnf",5.2,-8.537899999794263e-05,28,28.0,-8.537899999794263e-05,5.2
73,74,"n=50,m=50.cnf",1.0,-4.086199999875362e-05,4,4.0,-4.086199999875362e-05,1.0
74,75,"n=40,m=133.cnf",3.325,-0.00028417100000055484,35,35.0,-0.00028417100000055484,3.325
75,76,"n=40,m=127.cnf",3.175,0.0008283319999975447,34,34.0,0.0008283319999975447,3.175
